#	Image	Lens Name	G	zs	zl	RA (J2000)	Dec (J2000)	E(B-V)	ms (mag)	ml (mag)	FGHz (mJy)	Nim	size (")	dt (days)	sigma (km/s)
29		RXJ0911+0551	A	2.80	0.77	09:11:27.50	+05:50:52.0	0.045	I=17.39/4	I=20.47	 	4	2.47	146.0±4.0	 
30		SBS0909+523	A	1.38	0.83	09:13:01.05	+52:59:28.83	0.015	I=15.65/2	I=18.85	 	2	1.17	45.0±5.5	 
31		RXJ0921+4529	B	1.65	0.31	09:21:12.81	+45:29:04.4	0.018	I=17.74/3	I=20.24	 	2	6.97	 	 
32		SDSS0924+0219	A	1.524	0.39	09:24:55.87	+02:19:24.9	0.055	i=18.18/4	i=20.78	 	4	1.75	 	 
33		FBQ0951+2635	A	1.24	(0.24)	09:51:22.57	+26:35:14.1	0.022	I=16.39/2	I=19.67	F5=1.7	2	1.11	16.0±2.0	 
34		BRI0952-0115	A	4.50	0.632	09:55:00.01	-01:30:05.0	0.063	I=18.27/2	I=21.21	 	2	1.00	 	 
35		Q0957+561	A	1.41	0.36	10:01:20.78	+55:53:49.4	0.009	I=15.99/2	I=17.12	F5=65.6	2E	6.26	417.0±3.0	288±9
36		SDSS1001+5027	A	1.84	 	10:01:28.61	+50:27:56.9	0.012	I=16.64/2	I=19.63	 	2	2.82	 	 
37		J1004+1229	A	2.65	0.95	10:04:24.9	+12:29:22.3	0.036	I=19.65/2	I=21.60	F1.7=7	2	1.54	 	 
38		SDSS1004+4112	A	1.734	0.68	10:04:34.91	+41:12:42.8	0.013	i=17.53/4	i=18.42	 	4	15.99	821.6±2.1	 
39		SDSS1011+0143	A	2.701	0.331	10:11:29.49	+01:43:23.3	 	UNKNOWN=22.43/4	UNKNOWN=19.86	 	4	3.67	 	 
40		LBQS1009-0252	A	2.74	0.87	10:12:15.71	-03:07:02.0	0.034	I=17.80/2	I=21.94	 	2	1.54	 	 
41		Q1017-207	A	2.55	(0.78)	10:17:24.13	-20:47:00.4	0.046	I=16.78/2	I=21.82	 	2	0.85	 	 
42		SDSS1021+4913	A	1.72	 	10:21:11.02	+49:13:30.4	0.009	 	 	 	2	1.14	 	 
43		FSC10214+4724	A	2.29	(0.75)	10:24:34.6	+47:09:11	0.012	 	I=20.40	 	2E	1.59	 	 
44		SDSS1029+2623	A	2.197	0.55	10:29:13.35	+26:23:31.8	0.022	 	 	 	4	22.5	746.±10.	 
45		B1030+074	A	1.54	0.60	10:33:34.08	+07:11:25.5	0.022	I=19.41/2	I=20.02	 	2	1.65	 	 
46		HE1104-1805	A	2.32	0.73	11:06:33.45	-18:21:24.2	0.056	I=16.17/2	I=20.01	 	2	3.19	152.2±3.0	 
47		PG1115+080	A	1.72	0.31	11:18:17.00	+07:45:57.7	0.041	I=15.62/4	I=18.92	 	4	2.32	25.0±2.0	281±25
48		B1127+385	A	 	 	11:30:00.13	+38:12:03.1	0.027	I=25.62/2	I=23.00	 	2	0.74	 	 
49		RXJ1131-1231	A	0.658	0.295	11:31:51.6	-12:31:57	0.035	I=16.74/5	I=17.88	 	4	3.80	87±8	 
50		MG1131+0456	A	 	0.844	11:31:56.48	+04:55:49.8	0.036	 	I=21.21	F5=205	2R	2.1	 	 
51		SDSS1138+0314	A	2.44	0.45	11:38:03.70	+03:14:58.0	0.019	I=18.43/4	I=20.04	 	4	1.34	 	 
52		SDSS1155+6346	A	2.89	0.176	11:55:17.35	+63:46:22.0	0.014	I=17.67/2	I=17.82	 	2	1.95	 	 
53		B1152+200	A	1.019	0.439	11:55:18.3	+19:39:42.2	0.031	I=16.53/2	I=19.26	F5=76	2	1.59	 	 
54		SDSS1206+4332	A	1.79	 	12:06:29.65	+43:32:17.6	0.014	 	 	 	2	2.90	 	 
55		Q1208+101	B	3.80	 	12:10:57.16	+09:54:25.6	0.022	I=16.96/2	 	 	2	0.48	 	 
56		SDSS1226-0006	A	1.12	0.52	12:26:08.10	-00:06:02.0	0.024	I=18.32/2	I=19.72	 	2	1.26	 	 
57		HST12368+6212	C	 	 	12:36:49.0	+62:12:22	0.012	 	 	 	2E	1.17	 	 
58		HST12531-2914	A	 	(0.69)	12:53:06.70	-29:14:30.0	0.079	I=24.70/4	I=21.83	 	4	1.23	 	 
59		SDSS1332+0347	A	1.445	0.191	13:32:22.62	+03:47:39.9	0.026	i=18.70/2	i=18.64	 	2	1.14	 	 
60		LBQS1333+0113	A	1.57	 	13:35:34.79	+01:18:05.5	0.024	i=17.26/2	i=20.05	 	2	1.63	 	 
61		SDSS1353+1138	A	1.629	0.3	13:53:06.35	+11:38:04.7	0.026	 	 	 	2	1.41	 	 
62		Q1355-2257	A	1.37	(0.48)	13:55:43.38	-22:57:22.9	0.072	I=16.94/2	I=19.04	 	2	1.23	 	 
63		B1359+154	A	3.235	 	14:01:35.55	+15:13:25.6	0.019	I=22.62/6	I=22.68	F5=66	6	1.71	 	 
64		SDSS1402+6321	A	0.48	0.20	14:02:28.22	+63:21:33.3	0.017	 	 	 	4	1.35	 	267±17
65		SDSS1406+6126	A	2.13	0.27	14:06:24.82	+61:26:40.9	0.015	I=18.88/2	I=18.12	 	4	1.98	 	 
66		HST14113+5211	A	2.81	0.46	14:11:19.60	+52:11:29.0	0.016	I=24.14/4	I=19.99	 	4	1.80	 	 
67		H1413+117	A	2.55	 	14:15:46.40	11:29:41.4	0.024	I=16.44/4	H=18.61	F5~0.1	4	1.35	 	 
68		HST14164+5215	C	 	 	14:16:25.2	+52:14:31	0.013	I=22.75/2	I=19.91	 	2	2.24	 	 
69		HST14176+5226	A	3.40	0.81	14:17:36.51	+52:26:40.0	0.007	I=23.41/4	I=19.77	 	4	2.83	 	230±14
70		B1422+231	A	3.62	0.34	14:24:38.09	+22:56:00.6	0.048	I=14.81/4	I=19.66	F5=557	4E	1.68	8.2±2.0	 
71		SBS1520+530	A	1.86	0.72	15:21:44.83	+52:54:48.6	0.016	I=17.61/2	I=20.16	 	2	1.59	129.0±3.0	 
72		HST15433+5352	A	2.092	0.497	15:43:20.9	+53:51:52	0.012	 	 	 	2R	1.18	 	108±14
73		MG1549+3047	A	1.17	0.11	15:49:12.37	+30:47:16.6	0.029	H=20.52/1	I=16.70	F5=185	R	1.7	 	227±18
74		B1555+375	A	 	 	15:57:11.93	+37:21:35.9	0.022	H=20.65/2	H=20.01	F5=35	4	0.42	 	 
75		B1600+434	A	1.59	0.41	16:01:40.45	+43:16:47.8	0.013	I=20.87/2	I=20.78	F5=132	2	1.40	51.0±2.0	 
76		B1608+656	A	1.39	0.63	16:09:13.96	+65:32:29.0	0.031	 	I=19.02	F5=73.2	4	2.27	77.0±1.5	247±35
77		HST16302+8230	C	 	 	16:30:12.9	+82:29:59	0.087	 	 	 	2R	1.47	 	 
78		HST16309+8230	C	 	 	16:30:52.7	+82:30:12	0.087	 	 	 	2E	0.76	 	 
79		PMNJ1632-0033	B	3.424	 	16:32:57.68	-00:33:21.1	0.098	I=20.68/2	I=23.41	F5=227	2R	1.47	 	 
80		FBQ1633+3134	B	1.52	 	16:33:48.99	+31:34:11.90	0.030	I=16.59/2	I=18.26	 	2	0.75	 	 
81		SDSS1650+4251	B	1.54	 	16:50:43.44	+42:51:45.0	0.016	I=16.98/2	I=20.5	 	2	1.23	49.5±1.9	 
82		MG1654+1346	A	1.74	0.25	16:54:41.83	+13:46:22.0	0.061	I=20.18/1	I=17.90	F5=130.0	R	2.1	 	 
83		HST18078+4600	C	 	 	18:07:46.7	+45:59:56	0.037	 	 	 	2E	0.91	 	 
84		PKS1830-211	A	2.51	0.89	18:33:39.94	-21:03:39.7	0.464	I=22.27/2	I=21.42	F2~10^4	2ER	0.99	26.0±4.0	 
85		PMNJ1838-3427	A	2.78	 	18:38:28.5	-34:27:41.6	0.125	I=19.10/2	I=21.22	F5=213	2R	0.99	 	 
86		B1933+503	A	2.63	0.76	19:34:30.95	+50:25:23.6	0.095	 	I=20.24	F5=59	10	1.00	 	 
87		B1938+666	A	2.059	0.881	19:38:25.19	+66:48:52.2	0.121	 	I=21.46	F5=316	R	1.0	 	 
88		PMNJ2004-1349	A	 	 	20:04:07.07	-13:49:30.7	0.202	I=21.93/2	I=21.61	F5=34	2R	1.18	 	 
89		MG2016+112	A	3.27	1.01	20:19:18.15	+11:27:08.3	0.235	I=21.51/3	I=21.95	F5=84.6	2E	3.52	 	304±27
90		WFI2026-4536	A	2.23	 	20:26:10.43	-45:36:27.1	0.041	i=16.18/4	i=	 	4	1.34	 	 
91		WFI2033-4723	A	1.66	0.66	20:33:42.08	-47:23:43.0	0.047	i=17.59/4	i=19.71	 	4	2.33	 	 
92		B2045+265	A	1.28	0.87	20:47:20.35	+26:44:01.2	0.232	I=22.02/3	I=21.06	 	4	2.74	 	 
93		B2108+213	A	 	 	21:10:54.02	+21:31:00.7	0.161	I=20.92/2	 	F8=19	2	4.57	 	 
94		B2114+022	B	0.59	0.32	21:16:50.75	+02:25:46.9	0.072	 	I=18.63	F5=141	2+2?	1.31	 	 
95		HE2149-2745	A	2.03	0.50	21:52:07.44	-27:31:50.2	0.032	I=16.29/2	I=19.56	 	2	1.70	103.0±12.0	 
96		CY2201-3201	A	3.9	0.32	22:01:32.8	-32:01:44.0	0.028	 	 	 	2	0.83	 	130±20
97		HDFS2232509-603243	C	 	 	22:32:50.9	-60:32:43.0	0.028	 	 	 	4?E	0.9	 	 
98		Q2237+030	A	1.69	0.04	22:40:30.34	+03:21:28.8	0.071	I=15.16/4	I=14.15	F5=0.336	4	1.78	 	215±30
99		B2319+052	A	 	0.62	23:21:40.8	+05:27:36.4	0.064	 	I=20.71	F5=32	2	1.36	 	 
100		PSS2322+1944	B	4.12	 	23:22:07.2	+19:44:23	0.044	I=17.92/2	I=21.91	 	2	1.49	 	 
